,Name,Role,Status,Base Price,Final Price,Team
0, Vinay Kumar , Bowler, UNSOLD ,1.00 Crore,,
1, Kesrick Williams , Bowler, UNSOLD ,50.00 Lakh,,
2, Isuru Udana , Bowling Allrounder, SOLD ,50.00 Lakh,50.00 Lakh,RCB
3, Tom Curran , Bowling Allrounder, SOLD ,1.00 Crore,1.00 Crore,RR
4, Nikhil Naik , Batsman, SOLD ,20.00 Lakh,20.00 Lakh,KKR
5, Shahbaz Ahmed , WK-Batsman, SOLD ,20.00 Lakh,20.00 Lakh,RCB
6, Lalit Yadav , Batting Allrounder, SOLD ,20.00 Lakh,20.00 Lakh,DC
7, Andrew Tye , Bowler, SOLD ,1.00 Crore,1.00 Crore,RR
8, Dale Steyn , Bowler, SOLD ,2.00 Crore,2.00 Crore,RCB
9, Mark Wood , Bowler, UNSOLD ,50.00 Lakh,,
10, Marcus Stoinis , Batting Allrounder, SOLD ,1.00 Crore,4.80 Crore,DC
11, Colin Munro , Batting Allrounder, UNSOLD ,1.00 Crore,,
12, Ben Cutting , Bowling Allrounder, UNSOLD ,75.00 Lakh,,
13, Ravisrinivasan Sai Kishore , Bowler, SOLD ,20.00 Lakh,20.00 Lakh,CSK
14, Tushar Deshpande , Bowler, SOLD ,20.00 Lakh,20.00 Lakh,DC
15, Simran Singh , WK-Batsman, SOLD ,20.00 Lakh,55.00 Lakh,PBKS
16, Srikar Bharat , WK-Batsman, UNSOLD ,20.00 Lakh,,
17, Daniel Sams , Bowling Allrounder, UNSOLD ,20.00 Lakh,,
18, Shahrukh Khan , Bowling Allrounder, UNSOLD ,20.00 Lakh,,
19, Pavan Deshpande , Batting Allrounder, SOLD ,20.00 Lakh,20.00 Lakh,RCB
20, Rohan Kadam , Batsman, UNSOLD ,20.00 Lakh,,
21, Mohit Sharma , Bowler, SOLD ,50.00 Lakh,50.00 Lakh,DC
22, Kusal Perera , WK-Batsman, UNSOLD ,50.00 Lakh,,
23, Colin de Grandhomme , Batting Allrounder, UNSOLD ,75.00 Lakh,,
24, Sanjay Yadav , Batsman, SOLD ,20.00 Lakh,20.00 Lakh,SRH
25, Prince Balwant Rai , Batting Allrounder, SOLD ,20.00 Lakh,20.00 Lakh,MI
26, Digvijay Deshmukh , Bowler, SOLD ,20.00 Lakh,20.00 Lakh,MI
27, Aniruddha Joshi , Bowling Allrounder, SOLD ,20.00 Lakh,20.00 Lakh,RR
28, Saurabh Dubey , India , UNSOLD ,20.00 Lakh,,
29, Vaibhav Arora , Bowler, UNSOLD ,20.00 Lakh,,
30, George Garton , Bowler, UNSOLD ,20.00 Lakh,,
31, Nathan Ellis , Bowler, UNSOLD ,20.00 Lakh,,
32, Abdul Samad , Batsman, SOLD ,20.00 Lakh,20.00 Lakh,SRH
33, Sujit Nayak , Batsman, UNSOLD ,20.00 Lakh,,
34, Tajinder Singh , India , SOLD ,20.00 Lakh,20.00 Lakh,PBKS
35, Yudhvir Singh , Bowler, UNSOLD ,20.00 Lakh,,
36, Liam Plunkett , Bowler, UNSOLD ,1.00 Crore,,
37, James Pattinson , Bowler, UNSOLD ,1.00 Crore,,
38, Pravin Tambe , Bowler, SOLD ,20.00 Lakh,20.00 Lakh,KKR
39, Kuldeep Sen , Bowler, UNSOLD ,20.00 Lakh,,
40, Aryan Juyal , WK-Batsman, UNSOLD ,20.00 Lakh,,
41, Sumit Kumar , Batting Allrounder, UNSOLD ,20.00 Lakh,,
42, Oshane Thomas , Bowler, SOLD ,50.00 Lakh,50.00 Lakh,RR
43, Kane Richardson , Bowler, SOLD ,1.50 Crore,4.00 Crore,RCB
44, Matt Henry , Bowler, UNSOLD ,50.00 Lakh,,
45, Sean Abbott , Bowler, UNSOLD ,75.00 Lakh,,
46, Chris Jordan , Bowler, SOLD ,75.00 Lakh,3.00 Crore,PBKS
47, Jason Holder , Bowling Allrounder, UNSOLD ,75.00 Lakh,,
48, Fabian Allen , Batting Allrounder, SOLD ,50.00 Lakh,50.00 Lakh,SRH
49, Tom Banton , WK-Batsman, SOLD ,1.00 Crore,1.00 Crore,KKR
50, Rahul Shukla , Bowler, UNSOLD ,20.00 Lakh,,
51, Mohsin Khan , Bowler, SOLD ,20.00 Lakh,20.00 Lakh,MI
